"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:02:17+08:00",2.0,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,123.9494,10.3103,"2025-01-01 00:02:17.565568+08:00","Lapu-Lapu City"
"2025-01-01 00:02:19+08:00",3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,120.9828,14.4506,"2025-01-01 00:02:20.037675+08:00","Las Piñas"
"2025-01-01 00:02:22+08:00",1.0,240.33,0.0,2.51,33.62,8.46,4.33,5.01,0.66,123.7333,13.1333,"2025-01-01 00:02:22.563277+08:00","Legazpi City"
"2025-01-01 00:02:23+08:00",1.0,233.65,0.0,1.31,33.62,10.61,6.07,6.78,0.65,123.5325,13.2403,"2025-01-01 00:02:23.942380+08:00","Ligao"
"2025-01-01 00:02:25+08:00",1.0,267.03,0.0,4.24,33.62,2.03,2.47,6.06,2.03,121.1667,13.95,"2025-01-01 00:02:26.052576+08:00","Lipa City"
"2025-01-01 00:02:27+08:00",1.0,267.03,0.0,2.19,30.04,0.76,5.57,6.07,0.93,122.5967,10.8794,"2025-01-01 00:02:27.306667+08:00","Lucena"
"2025-01-01 00:02:28+08:00",1.0,267.03,0.0,2.19,30.04,0.76,5.57,6.07,0.93,122.4347,10.8925,"2025-01-01 00:02:28.756795+08:00","Maasin"
"2025-01-01 00:02:31+08:00",2.0,620.84,0.02,16.79,18.77,3.04,15.57,19.38,17.23,120.5736,15.2216,"2025-01-01 00:02:31.151399+08:00","Mabalacat City"
"2025-01-01 00:02:32+08:00",3.0,1695.63,26.6,34.62,0.0,24.56,44.61,65.54,5.76,121.0327,14.5503,"2025-01-01 00:02:32.591797+08:00","Makati City"
"2025-01-01 00:02:34+08:00",2.0,460.63,0.0,4.41,53.64,1.82,24.34,28.62,1.76,119.9379,15.6361,"2025-01-01 00:02:34.479862+08:00","Malabon"
"2025-01-01 00:02:36+08:00",1.0,417.23,0.23,11.82,1.48,1.45,7.87,10.05,11.4,125.0833,8.15,"2025-01-01 00:02:36.917590+08:00","Malaybalay"
"2025-01-01 00:02:38+08:00",2.0,554.09,0.09,13.02,14.84,2.89,12.31,19.61,6.33,120.8117,14.8419,"2025-01-01 00:02:39.083445+08:00","Malolos"
"2025-01-01 00:02:40+08:00",3.0,1695.63,26.6,34.62,0.0,24.56,44.61,65.54,5.76,121.0409,14.5832,"2025-01-01 00:02:40.277493+08:00","Mandaluyong City"
"2025-01-01 00:02:42+08:00",2.0,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,123.9333,10.3333,"2025-01-01 00:02:42.770479+08:00","Mandaue City"
"2025-01-01 00:02:43+08:00",2.0,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,120.9822,14.6042,"2025-01-01 00:02:44.074957+08:00","Manila"
